Company,Location,Date of Posting,Total Compensation,Base,Stock,Bonuses
Verkada,"San Mateo, CA",2022-09-25 00:00:00,250000,150000,100000,N/A
Intel,"Santa Clara, CA",2022-09-12 00:00:00,245145,175000,40000,30100
C3.ai,"Redwood City, CA",2022-09-15 00:00:00,245000,155000,40000,50000
Google,"Mountain View, CA",2022-09-10 00:00:00,243200,168000,50000,25200
Apple,"Cupertino, CA",2022-09-09 00:00:00,242500,240000,2500,N/A
Apple,"Sunnyvale, CA",2022-09-30 00:00:00,241554,170000,53600,18000
LinkedIn,"Sunnyvale, CA",2022-09-19 00:00:00,241525,162800,62500,16300
Nvidia,"Santa Clara, CA",2022-09-13 00:00:00,241250,180000,53800,7500
Atlassian,"San Francisco, CA",2022-09-21 00:00:00,241000,160000,65000,16000
JPMorgan Chase,"San Francisco, CA",2022-09-27 00:00:00,240000,240000,N/A,N/A
Walmart Global Tech,"Sunnyvale, CA",2022-09-25 00:00:00,240000,200000,40000,N/A
Amazon,"Sunnyvale, CA",2022-09-09 00:00:00,238000,170000,8000,60000
SambaNova Systems,"Palo Alto, CA",2022-09-09 00:00:00,236738,145000,91700,N/A
Datavant,"San Francisco, CA",2022-10-01 00:00:00,235000,175000,60000,N/A
Roblox,"San Mateo, CA",2022-09-20 00:00:00,234250,152500,72500,9300
Roblox,"San Mateo, CA",2022-09-30 00:00:00,234250,152500,72500,9300
Roblox,"San Mateo, CA",2022-09-25 00:00:00,234250,152500,72500,9300
ByteDance,"Mountain View, CA",2022-09-13 00:00:00,233350,140000,58400,35000
Databricks,"San Francisco, CA",2022-09-08 00:00:00,230875,135000,68800,27100
Databricks,"San Francisco, CA",2022-09-07 00:00:00,230500,135000,68000,27500
Amazon,"Santa Clara, CA",2022-09-16 00:00:00,230009,180000,30000,20000
Verkada,"San Mateo, CA",2022-10-04 00:00:00,230000,105000,125000,N/A
Twitch,"San Francisco, CA",2022-09-12 00:00:00,230000,170000,60000,N/A
Asana,"San Francisco, CA",2022-09-08 00:00:00,230000,170000,60000,N/A
Pinterest,"San Francisco, CA",2022-10-05 00:00:00,230000,180000,50000,N/A
Indeed,"Sunnyvale, CA",2022-09-23 00:00:00,230000,160000,40000,30000
Roblox,"San Mateo, CA",2022-09-22 00:00:00,228750,152500,72500,3800
Databricks,"San Francisco, CA",2022-10-01 00:00:00,228375,135000,68800,24600
Okta,"San Francisco, CA",2022-09-17 00:00:00,228000,168000,60000,N/A
Facebook,"Menlo Park, CA",2022-09-13 00:00:00,228000,118000,40000,70000
Oracle,"Redwood City, CA",2022-09-14 00:00:00,228000,135000,53000,40000
Facebook,"Menlo Park, CA",2022-09-25 00:00:00,228000,118000,40000,70000
Google,"San Francisco, CA",2022-10-01 00:00:00,227500,170000,27500,30000
Google,"Sunnyvale, CA",2022-09-30 00:00:00,226950,159000,42000,26000
Facebook,"Menlo Park, CA",2022-09-26 00:00:00,225685,135900,55000,34800
Yelp,"San Francisco, CA",2022-09-26 00:00:00,225000,170000,55000,N/A
Zoox,"San Francisco, CA",2022-09-30 00:00:00,225000,190000,25000,10000
Netflix,"San Francisco, CA",2022-09-12 00:00:00,225000,225000,N/A,N/A
Mentor Graphics,"San Francisco, CA",2022-09-15 00:00:00,223391,185000,3200,35200
Yelp,"San Francisco, CA",2022-10-02 00:00:00,222250,166000,56300,N/A
Johnson & Johnson,"Santa Clara, CA",2022-10-04 00:00:00,222200,182000,19200,21000
Facebook,"Menlo Park, CA",2022-09-09 00:00:00,221750,138000,55000,28800
Databricks,"San Francisco, CA",2022-10-04 00:00:00,221625,130000,67500,24100
Waymo,"San Francisco, CA",2022-10-05 00:00:00,221250,175000,13800,32500
Google,"Mountain View, CA",2022-09-26 00:00:00,221000,145000,50000,26000
Rubrik,"Palo Alto, CA",2022-10-05 00:00:00,220000,170000,50000,N/A
Google,"San Francisco, CA",2022-09-17 00:00:00,220000,130000,50000,40000
Nvidia,"Santa Clara, CA",2022-09-29 00:00:00,219625,160000,32500,27100
Google,"Mountain View, CA",2022-09-25 00:00:00,218550,152000,43800,22800
Google,"San Francisco, CA",2022-09-10 00:00:00,218000,168000,50000,N/A
Netflix,"Los Gatos, CA",2022-09-30 00:00:00,218000,205000,N/A,13000
Netflix,"Los Gatos, CA",2022-09-12 00:00:00,217500,215000,N/A,2500
Google,"Mountain View, CA",2022-09-28 00:00:00,217350,159000,32000,26400
Lark Health,"San Francisco, CA",2022-09-22 00:00:00,217050,173300,43800,N/A
Amazon,"Santa Clara, CA",2022-09-30 00:00:00,216889,157000,33200,26700
ByteDance,"Mountain View, CA",2022-09-29 00:00:00,216100,146700,33300,36200
Argo AI,"San Francisco, CA",2022-09-26 00:00:00,215000,165000,50000,N/A
Salesforce,"San Francisco, CA",2022-09-14 00:00:00,214204,161000,27500,25700
ByteDance,"Mountain View, CA",2022-09-27 00:00:00,213750,141000,31300,41500
LinkedIn,"Sunnyvale, CA",2022-09-25 00:00:00,213240,148400,50000,14800
Amazon,"Palo Alto, CA",2022-09-30 00:00:00,213162,148400,32000,32700
VMware,"Palo Alto, CA",2022-09-06 00:00:00,213000,165000,30000,18000
Facebook,"Menlo Park, CA",2022-09-19 00:00:00,212650,124000,55000,33700
Nvidia,"Santa Clara, CA",2022-10-03 00:00:00,212500,160000,32500,20000
ByteDance,"Mountain View, CA",2022-09-15 00:00:00,212250,145000,31000,36300
Microsoft,"Mountain View, CA",2022-10-03 00:00:00,212150,127900,34300,50000
Databricks,"San Francisco, CA",2022-10-04 00:00:00,212000,135000,52500,24500
Amazon,"San Francisco, CA",2022-09-13 00:00:00,211570,155000,30700,25900
Palantir,"Palo Alto, CA",2022-10-04 00:00:00,211250,155000,45000,11300
Intuitive,"Sunnyvale, CA",2022-09-20 00:00:00,210000,160000,50000,N/A
Amazon,"San Francisco, CA",2022-09-28 00:00:00,209500,134500,75000,N/A
Oracle,"Redwood City, CA",2022-09-09 00:00:00,208500,130000,70500,8000
Slack,"San Francisco, CA",2022-09-12 00:00:00,208000,153000,40000,15000
ByteDance,"Mountain View, CA",2022-09-22 00:00:00,208000,141500,31200,35400
ByteDance,"Mountain View, CA",2022-09-26 00:00:00,208000,141500,31200,35400
Gusto,"San Francisco, CA",2022-09-26 00:00:00,207500,134000,30000,43500
ByteDance,"Mountain View, CA",2022-09-28 00:00:00,207250,141000,31000,35300
Zoox,"Foster City, CA",2022-09-09 00:00:00,207000,175000,24000,8000
Google,"Mountain View, CA",2022-10-01 00:00:00,207000,144000,33000,30000
Gusto,"San Francisco, CA",2022-09-27 00:00:00,206500,134000,30000,42500
Gusto,"San Francisco, CA",2022-09-30 00:00:00,206500,134000,30000,42500
Chan Zuckerberg Initiative,"San Francisco, CA",2022-09-07 00:00:00,206425,179500,N/A,26900
ByteDance,"Mountain View, CA",2022-09-16 00:00:00,206250,140000,31300,35000
LinkedIn,"San Francisco, CA",2022-09-16 00:00:00,205900,136300,56000,13600
Amazon,"Sunnyvale, CA",2022-09-15 00:00:00,205742,148400,32000,25300
Amazon,"Sunnyvale, CA",2022-09-29 00:00:00,205742,148400,32000,25300
Amazon,"Santa Clara, CA",2022-09-08 00:00:00,205000,150000,32000,23000
Cisco,"San Francisco, CA",2022-09-24 00:00:00,205000,180000,25000,N/A
Snowflake,"San Mateo, CA",2022-09-11 00:00:00,205000,140000,51000,14000
Amazon,"Palo Alto, CA",2022-09-16 00:00:00,204000,148000,32000,24000
Amazon,"Palo Alto, CA",2022-09-13 00:00:00,203992,148400,32000,23600
Amazon,"San Francisco, CA",2022-09-30 00:00:00,203592,148000,32000,23600
Amazon,"Cupertino, CA",2022-10-01 00:00:00,203550,148000,32000,23600
Amazon,"Sunnyvale, CA",2022-09-06 00:00:00,203175,148400,32000,22800
Align Technology,"San Jose, CA",2022-09-26 00:00:00,202500,160000,12500,30000
Nvidia,"Santa Clara, CA",2022-09-10 00:00:00,202500,160000,37500,5000
Covariant,"Emeryville, CA",2022-09-14 00:00:00,201804,162000,39800,N/A
Asana,"San Francisco, CA",2022-09-08 00:00:00,201500,153000,41000,7500
N/A,N/A,N/A,200000,150000,50000,N/A
Oracle,"San Francisco, CA",2022-09-28 00:00:00,200000,135000,65000,N/A
Facebook,"San Francisco, CA",2022-09-08 00:00:00,200000,140000,60000,N/A
WorkOS,"South San Francisco, CA",2022-09-16 00:00:00,200000,200000,N/A,N/A
VMware,"Palo Alto, CA",2022-09-29 00:00:00,200000,165000,35000,N/A
Snap,"San Francisco, CA",2022-09-24 00:00:00,200000,140000,60000,N/A
Google,"San Francisco, CA",2022-09-14 00:00:00,200000,200000,N/A,N/A
Workday,"Pleasanton, CA",2022-09-14 00:00:00,200000,145000,30000,15000
DoorDash,"San Francisco, CA",2022-09-12 00:00:00,200000,135000,43800,21300
DoorDash,"San Francisco, CA",2022-09-15 00:00:00,198750,135000,43800,20000
Splunk,"San Francisco, CA",2022-09-13 00:00:00,198500,135000,50000,13500
Splunk,"San Jose, CA",2022-09-19 00:00:00,198500,135000,50000,13500
Oracle,"Redwood City, CA",2022-09-12 00:00:00,198000,135000,53000,10000
Cisco,"San Francisco, CA",2022-09-17 00:00:00,198000,173000,25000,N/A
Oracle,"Redwood City, CA",2022-09-19 00:00:00,198000,135000,53000,10000
Tesla,"Palo Alto, CA",2022-10-03 00:00:00,197000,137000,60000,N/A
Salesforce,"San Francisco, CA",2022-09-30 00:00:00,196625,147000,25000,24600
Salesforce,"San Francisco, CA",2022-09-15 00:00:00,196063,147000,25000,24100
Salesforce,"San Francisco, CA",2022-10-05 00:00:00,196013,147000,25000,24000
ByteDance,"San Francisco, CA",2022-10-05 00:00:00,196000,133200,29500,33300
Google,"Mountain View, CA",2022-09-21 00:00:00,195600,144000,25000,26600
Microsoft,"Berkeley, CA",2022-09-17 00:00:00,195500,148000,34500,13000
Google,"San Francisco, CA",2022-09-25 00:00:00,195453,130300,65200,N/A
N/A,N/A,N/A,194400,129000,37500,27900
Google,"San Bruno, CA",2022-09-27 00:00:00,194150,142000,25000,27200
Ripple,"San Francisco, CA",2022-09-25 00:00:00,194000,140000,35000,19000
Nvidia,"Santa Clara, CA",2022-09-20 00:00:00,193250,157000,30000,6300
Cisco,"San Francisco, CA",2022-10-01 00:00:00,193000,143000,40000,10000
Lacework,"San Jose, CA",2022-09-23 00:00:00,192998,150000,43000,N/A
Amazon,"Sunnyvale, CA",2022-09-19 00:00:00,192750,144000,29500,19300
Arista Networks,"Santa Clara, CA",2022-09-25 00:00:00,192000,152000,40000,N/A
ByteDance,"San Francisco, CA",2022-10-03 00:00:00,192000,175000,17000,N/A
Snap,"Mountain View, CA",2022-09-19 00:00:00,190500,125000,53000,12500
Nvidia,"Santa Clara, CA",2022-09-11 00:00:00,190500,153000,37500,N/A
Juniper Networks,"Sunnyvale, CA",2022-09-13 00:00:00,190267,160000,6700,23600
Google,"Mountain View, CA",2022-10-04 00:00:00,190090,142000,33000,15100
DiDi,"Mountain View, CA",2022-09-26 00:00:00,190000,130000,40000,20000
Microsoft,"Palo Alto, CA",2022-10-01 00:00:00,190000,140000,30000,20000
Facebook,"Menlo Park, CA",2022-09-27 00:00:00,190000,135000,55000,N/A
Google,"Mountain View, CA",2022-09-11 00:00:00,190000,140000,50000,N/A
Apple,"Sunnyvale, CA",2022-09-08 00:00:00,190000,140000,50000,N/A
Palo Alto Networks,"San Jose, CA",2022-09-30 00:00:00,189900,145000,25000,19900
Slack,"San Francisco, CA",2022-09-20 00:00:00,189875,141000,25000,23900
Splunk,"San Jose, CA",2022-09-08 00:00:00,189833,140000,33300,16500
Atlassian,"San Francisco, CA",2022-09-30 00:00:00,189830,132800,37500,19500
Atlassian,"Mountain View, CA",2022-09-17 00:00:00,189830,132800,37500,19500
Nvidia,"Santa Clara, CA",2022-09-27 00:00:00,189500,157000,32500,N/A
Slack,"San Francisco, CA",2022-09-13 00:00:00,189288,141000,25000,23300
Splunk,"San Francisco, CA",2022-09-25 00:00:00,189208,140000,33300,15900
Salesforce,"San Francisco, CA",2022-10-03 00:00:00,189100,141000,25000,23100
